id,title,source,postedDate,description,contactEmail,contactPhone,proofLink,category,brokerLeverage
11,"PFAS)","EPA","05/11/2025","Addition of 9 PFAS to TRI for RY2025: Reporting of releases/waste management; de minimis exemption removed for PFAS.","epa-tri@epa.gov","566-1070","https://frostbrowntodd.com/nine-new-pfas-added-to-toxic-release-inventory-tri-reporting-by-u-s-epa/","PFAS","DuPont"
12,"RFQs","GSA.gov","03/11/2025","Active RFQs for BuyAmerica infrastructure: Quotes via eBuy for waivers and domestic sourcing, with RFQ duration of days/weeks and SOW for services.","vendors@gsa.gov","501-1021","https://gsa.federalschedules.com/resources/gsa-ebuy-rfqs-for-gsa-contractors-eyes-only/","BuyAmerica","Procurement"
13,"TED","TED.europa.eu","04/11/2025","Tender for EUDR Information System: RFQ for submissão de DDS via TRACES, with virtual training 27/11/2025. Foco em lifecycle de due diligence statements.","paul.martin@ted.europa.eu","11","https://ted.europa.eu/TED/main/HomePage.do","EUDR","Hub"
14,"RFQ","Ariba","08/11/2025","RFQ for EPR fee modulation: Reports for packaging with >30% recycled content; bids via Ariba for PRO schemes.","suppliers@greendot.com","508-9954","https://www.ariba.com/ariba-network/ariba-network-for-suppliers/selling-on-ariba-network/respond-to-an-rfp-rfi","EPR","Portal"
15,"Guide","MATRIC","05/11/2025","Electronics PFAS guide: Supplier scrutiny for intentionally added PFAS in components; reporting for 2025 bans.","contact@matric.com","755-8440","https://matric.com/pfas","MATRIC","PFAS"
16,"Tenders","Detail","06/11/2025","Global e-waste tenders: RFQ for disposal/recycling of electronics, job creation in recycling for 2025.","tenders@un.org","963-1234","https://www.biddetail.com/global-tenders/e-waste-tenders","EPR","recycling"
17,"American","Register","07/11/2025","DFARS Buy American: 60% domestic content for defense; qualifying countries and COTS exceptions for 2025.","dfars@osd.mil","614-0000","https://www.federalregister.gov/documents/2025/06/10/2025-09876/defense-federal-acquisition-regulation-supplement-buy-american-and-domestic-preferences-dfars-case","BuyAmerica","suppliers"
18,"Launch","EC.europa.eu","08/11/2025","EUDR Information System launch: DDS submission for operators/traders, audit-ready for 30/12/2025 deadline.","environment.ec@ec.europa.eu","11","https://environment.ec.europa.eu/topics/forests/deforestation/regulation-deforestation-free-products-eudr_en","EUDR","system"
19,"UK","HMRC","05/11/2025","Plastic packaging tax for 2025: 30% recycled content requirement, modulation for EPR compliance.","plastic.packaging@hmrc.gov.uk","3700","https://www.gov.uk/guidance/plastic-packaging-tax","EPR","suppliers"
20,"Deforestation-Free","Nature","04/11/2025","Timber RFQ for deforestation-free supply: IWAY portal compliance with EUDR, waivers for domestic US/LAC.","fsc@fsc.org","660","https://preferredbynature.org/eudr","Renovável","LAC"
