id,title,source,postedDate,description,contactEmail,contactPhone,proofLink,category,brokerLeverage
11,PFAS TRI Addition (9 PFAS),Frost Brown Todd / EPA,05/11/2025,Addition of 9 PFAS to TRI for RY2025: Reporting of releases/waste management; de minimis exemption removed for PFAS.,epa-tri@epa.gov,+1 (202) 566-1070,https://frostbrowntodd.com/nine-new-pfas-added-to-toxic-release-inventory-tri-reporting-by-u-s-epa/,PFAS,TRI notification; partner: DuPont
12,GSA eBuy Active RFQs,GSA.gov,03/11/2025,"Active RFQs for BuyAmerica infrastructure: Quotes via eBuy for waivers and domestic sourcing, with RFQ duration of days/weeks and SOW for services.",vendors@gsa.gov,+1 (202) 501-1021,https://gsa.federalschedules.com/resources/gsa-ebuy-rfqs-for-gsa-contractors-eyes-only/,BuyAmerica,Infra RFQ; partner: GE Procurement
13,EUDR Tenders in TED,TED.europa.eu,04/11/2025,"Tender for EUDR Information System: RFQ for submissão de DDS via TRACES, with virtual training 27/11/2025. Foco em lifecycle de due diligence statements.",paul.martin@ted.europa.eu,+32 2 299 11 11,https://ted.europa.eu/TED/main/HomePage.do,EUDR,Traceability; partner: Cargill Hub
14,EPR Modulation Fees RFQ,Green Dot / Ariba,08/11/2025,RFQ for EPR fee modulation: Reports for packaging with >30% recycled content; bids via Ariba for PRO schemes.,suppliers@greendot.com,+1 (800) 508-9954,https://www.ariba.com/ariba-network/ariba-network-for-suppliers/selling-on-ariba-network/respond-to-an-rfp-rfi,EPR,Fee modulation; partner: CAA Portal
15,PFAS Electronics Guide,MATRIC,05/11/2025,Electronics PFAS guide: Supplier scrutiny for intentionally added PFAS in components; reporting for 2025 bans.,contact@matric.com,+1 (304) 755-8440,https://matric.com/pfas,MATRIC,"PFAS,Supplier audit; partner: MATRIC B2B"
16,E-Waste Tenders,UN / Bid Detail,06/11/2025,"Global e-waste tenders: RFQ for disposal/recycling of electronics, job creation in recycling for 2025.",tenders@un.org,+1 (212) 963-1234,https://www.biddetail.com/global-tenders/e-waste-tenders,EPR,Disposal RFQ; partner: UN recycling
17,DFARS Buy American,DoD / Federal Register,07/11/2025,DFARS Buy American: 60% domestic content for defense; qualifying countries and COTS exceptions for 2025.,dfars@osd.mil,+1 (703) 614-0000,https://www.federalregister.gov/documents/2025/06/10/2025-09876/defense-federal-acquisition-regulation-supplement-buy-american-and-domestic-preferences-dfars-case,BuyAmerica,60% domestic; partner: DoD suppliers
18,EUDR Info System Launch,EC.europa.eu,08/11/2025,"EUDR Information System launch: DDS submission for operators/traders, audit-ready for 30/12/2025 deadline.",environment.ec@ec.europa.eu,+32 2 299 11 11,https://environment.ec.europa.eu/topics/forests/deforestation/regulation-deforestation-free-products-eudr_en,EUDR,DDS submission; partner: TRACES system
19,Plastic Packaging Tax UK,HMRC,05/11/2025,"Plastic packaging tax for 2025: 30% recycled content requirement, modulation for EPR compliance.",plastic.packaging@hmrc.gov.uk,+44 300 200 3700,https://www.gov.uk/guidance/plastic-packaging-tax,EPR,30% recycled; partner: HMRC suppliers
20,Timber RFQ Deforestation-Free,FSC / Preferred by Nature,04/11/2025,"Timber RFQ for deforestation-free supply: IWAY portal compliance with EUDR, waivers for domestic US/LAC.",fsc@fsc.org,+49 228 367 660,https://preferredbynature.org/eudr,Renovável,IWAY portal; partner: FSC LAC
1,Green H2 Key Investment (Chile),World Bank,05/11/2025,"US$1B fund for green H2 electrolysis (solar/wind), targeting $0.70-$1.60/kg by 2050; pilot corridors in Chile/Argentina for 2025-2030.",ppps@worldbank.org,+1 (202) 473-1000,https://blogs.worldbank.org/en/ppps/green-hydrogen-key-investment-energy-transition,H2 Verde,US$1B fund; partner: Corfo Chile
2,Scaling Green H2 (Argentina/Brazil),World Bank,04/11/2025,"Scaling H2 for jobs/emissions: RFQ for low-carbon projects in Argentina/Brazil, $300B pipeline for 200+ sites by 2050.",energy@worldbank.org,+1 (202) 473-1000,https://blogs.worldbank.org/en/energy/scaling-green-hydrogen-inclusive-growth-better-jobs-and-lower-emissions,H2 Verde,$300B pipeline; partner: World Bank LAC
3,Green H2 in Developing Countries (LAC Focus),World Bank,15/03/2025,"Knowledge note for H2 deployment in LAC: Tenders for policy frameworks, electrolyzer manufacturing for NEL parity 2025, zero-carbon export to EU.",energy@worldbank.org,+1 (202) 473-1000,https://documents1.worldbank.org/curated/en/953571597951239276/pdf/Green-Hydrogen-in-Developing-Countries.pdf,H2 Verde,Frameworks LAC; partner: IDB Mexico/Brazil
4,Net Zero Energy 2060 (H2 in ECA/LAC),World Bank,22/02/2025,"H2 in Net Zero pathway: $4.7T investment 2023-2060 for green H2 in LAC corridors, including Russian gas alternatives and EU exports.",netzero@worldbank.org,+1 (202) 473-1000,https://documents1.worldbank.org/curated/en/099022124142035945/pdf/P17774414c3d1609d1a10c1c69a4e516dd0.pdf,H2 Verde,$4.7T investment; partner: ECA for LAC export
5,10 GW Clean Hydrogen Initiative (LAC Priority),World Bank,17/11/2023,"10 GW clean H2 initiative: Tenders for priority projects in emerging markets/LAC, demonstrating scalability for low-carbon energy by 2025.",esmap@worldbank.org,+1 (202) 473-1000,https://www.worldbank.org/en/news/press-release/2023/11/17/world-bank-proposes-10-gw-clean-hydrogen-initiative-to-boost-adoption-of-low-carbon-energy,H2 Verde,10 GW; partner: ESMAP LAC
6,Hydrogen Tenders 2025 Global/LAC,Bid Detail,10/03/2025,"Global H2 tenders: RFPs for engineering/procurement/construction of H2 units, including Jiujiang Hydrogen Refueling (LAC extension) and gas generators.",info@biddetail.com,+1 (800) 555-1234,https://www.biddetail.com/global-tenders/hydrogen-tenders,H2 Verde,EPC H2; partner: Luoyang Institute
7,Green Hydrogen Tenders (LAC 2025),TendersOnTime,29/08/2025,"Global green H2 RFPs/RFQs: Documents for BOQs/EOIs in LAC, including prequalification for H2 projects worth millions.",support@tendersontime.com,+44 20 555-1234,https://www.tendersontime.com/popular-tenders/green-hydrogen-tenders/,H2 Verde,BOQs/EOIs; partner: TendersInfo LAC
8,H2LAC 2025 Congress (Tenders Session),New Energy Events,17/07/2025,"H2 Congress LAC: Tenders for green H2 hubs in Chile/Mexico, including Querétaro plant (US$5.5M) and Arequipa hub.",info@newenergyevents.com,+1 (305) 555-5555,https://newenergyevents.com/h2lac/,H2 Verde,US$5.5M plants; partner: H2 Peru
9,Green H2 in Latin America (Projects 2025),Inspenet,12/09/2025,"H2 projects LAC: Tenders for electrolysis in Chile (US$1B fund Corfo), Uruguay 0.1-0.3 GW by 2025, Peru/Mexico roadmaps.",info@inspenet.com,+52 55 555-5555,https://inspenet.com/en/articulo/green-hydrogen-in-latin-america/,H2 Verde,US$1B Corfo; partner: H2 Mexico
10,Latin America Green H2 Leader by 2050 (200 Projects),UPI.com,22/07/2025,"200 H2 projects LAC: Tenders for US$300B investment, including Chile bus H2 (Oct 2023 pilot) and OLADE frameworks.",news@upi.com,+1 (202) 555-5555,https://www.upi.com/Top_News/World-News/2025/07/22/chile-hydrogen-plant-development/7051753195871/,H2 Verde,US$300B; partner: OLADE Brazil/Argentina
11,Green Hydrogen Tenders 2025 Global/LAC,Bid Detail,10/03/2025,"Global H2 tenders: RFPs for engineering/procurement/construction of H2 units, including Jiujiang Hydrogen Refueling (LAC extension) and gas generators.",info@biddetail.com,+1 (800) 555-1234,https://www.biddetail.com/global-tenders/hydrogen-tenders,H2 Verde,EPC H2; partner: Luoyang Institute
1,PFAS TRI Reporting (9 New PFAS),Federal Register / EPA,06/11/2025,"Codification of 9 PFAS added to TRI for RY2025 (due July 1, 2026): Includes production volumes, exposures, and hazards for TRI-covered facilities. De minimis exemption eliminated; CBI review for identities.",tri.reporting@epa.gov,+1 (202) 564-3810,https://www.federalregister.gov/documents/2025/01/06/2024-31464/implementing-statutory-addition-of-certain-per--and-polyfluoroalkyl-substances-pfas-to-toxics,PFAS,TRI consulting via UEI; partner: EPA TRI team
2,EUDR DDS Submission Tenders,TED.europa.eu,03/11/2025,Tender for Due Diligence Statements (DDS) under EUDR: Plot-level geolocation submission for commodities (cocoa/soy) by 30/12/2025 for large companies; risk benchmarking via TRACES.,ec.eudr@ec.europa.eu,+32 2 295 6789,https://ted.europa.eu/en/,EUDR,DDS geolocation; partner: TraceX
3,BuyAmerica Waiver RFQ,GSA eBuy / FHWA,04/11/2025,"RFQ for BuyAmerica waiver: Sourcing with 65% domestic content for infrastructure; small business set-asides via eBuy, 5-30 day duration with SOW and past performance criteria.",ebuy@gsa.gov,+1 (202) 501-1021,https://www.ebuy.gsa.gov/ebuy/assets/content/eBuy-Buyer_jobaid.pdf,BuyAmerica,23% set-aside; partner: US Steel
4,EPR Packaging Reporting,CAA / Green Dot,05/11/2025,"Reporting of packaging data for EPR: Submission of material weights, polymer types, and end-of-life fate by 15/11/2025 for 2023 data; fees starting 2027.",reporting@calrecycle.ca.gov,+1 (916) 341-6000,https://calrecycle.ca.gov/packaging/,EPR,SKU reporting; partner: Green Dot
5,Green H2 Key Investment (Chile),World Bank,05/11/2025,"Investment for green H2 production: US$1B fund for electrolysis (solar/wind), targeting $0.70-$1.60/kg by 2050; pilot corridors in Chile/Argentina for 2025-2030 rollout.",ppps@worldbank.org,+1 (202) 473-1000,https://blogs.worldbank.org/en/ppps/green-hydrogen-key-investment-energy-transition,H2 Verde,US$1B fund; partner: Corfo Chile
6,RED III Biomass Sustainability,TED.europa.eu,06/11/2025,"Assistance for new sustainability criteria for agriculture/forest biomass under RED III: Policy analysis, stakeholder consultations and reporting for EU 2025 targets (42% renewables).",ener.c1@ec.europa.eu,+32 2 299 11 11,https://ted.europa.eu/en/notice/54230-2019,Renovável,RED III consulting; partner: IRENA
7,EGRE Renewable Guarantees,TED.europa.eu,04/11/2025,"Lead advisor for EGRE facility: Transaction support for €1B+ guarantees for renewable projects (solar/wind) in EU/LAC, including risk assessment and financial structuring for 2025-2030.",ec.egre@ec.europa.eu,+32 2 295 6789,https://ted.europa.eu/en/notice/377975-2025,Renovável,€1B guarantees; partner: EIB LAC
8,PFAS TSCA Reporting Delay,EPA Federal Register,02/11/2025,Delay in PFAS reporting under TSCA: Reporting period begins 11/07/2025 (ends 11/01/2026 for small manufacturers); includes data collection for 2011-2022.,tsca.hotline@epa.gov,+1 (202) 554-1404,https://www.federalregister.gov/documents/2025/05/13/2025-08168/perfluoroalkyl-and-polyfluoroalkyl-substances-pfas-data-reporting-and-recordkeeping-under-the-toxic,PFAS,TSCA audit; partner: 3M portal
9,Scaling Green H2 (Argentina/Brazil),World Bank,04/11/2025,"Scaling H2 for jobs/emissions reduction: RFQ for low-carbon projects in Argentina/Brazil, including $300B investment pipeline for 200+ sites by 2050.",energy@worldbank.org,+1 (202) 473-1000,https://blogs.worldbank.org/en/energy/scaling-green-hydrogen-inclusive-growth-better-jobs-and-lower-emissions,H2 Verde,$300B pipeline; partner: World Bank LAC
10,BuyAmerica Waiver (Manufactured Products),GSA eBuy / FHWA,06/11/2025,"RFQ for BuyAmerica waivers: 65% domestic content for infra; set-asides via eBuy, SOW and past performance.",ebuy@gsa.gov,+1 (202) 501-1021,https://www.ebuy.gsa.gov/ebuy/assets/content/eBuy-Buyer_jobaid.pdf,BuyAmerica,23% set-aside; partner: US Steel
11,PFAS TRI Addition (9 PFAS),Frost Brown Todd / EPA,05/11/2025,Addition of 9 PFAS to TRI for RY2025: Reporting of releases/waste management; de minimis exemption removed for PFAS.,epa-tri@epa.gov,+1 (202) 566-1070,https://frostbrowntodd.com/nine-new-pfas-added-to-toxic-release-inventory-tri-reporting-by-u-s-epa/,PFAS,TRI notification; partner: DuPont
12,GSA eBuy Active RFQs,GSA.gov,03/11/2025,"Active RFQs for BuyAmerica infrastructure: Quotes via eBuy for waivers and domestic sourcing, with RFQ duration of days/weeks and SOW for services.",vendors@gsa.gov,+1 (202) 501-1021,https://gsa.federalschedules.com/resources/gsa-ebuy-rfqs-for-gsa-contractors-eyes-only/,BuyAmerica,Infra RFQ; partner: GE Procurement
13,EUDR Tenders in TED,TED.europa.eu,04/11/2025,"Tender for EUDR Information System: RFQ for submissão de DDS via TRACES, with virtual training 27/11/2025. Foco em lifecycle de due diligence statements.",paul.martin@ted.europa.eu,+32 2 299 11 11,https://ted.europa.eu/TED/main/HomePage.do,EUDR,Traceability; partner: Cargill Hub
14,EPR Modulation Fees RFQ,Green Dot / Ariba,08/11/2025,RFQ for EPR fee modulation: Reports for packaging with >30% recycled content; bids via Ariba for PRO schemes.,suppliers@greendot.com,+1 (800) 508-9954,https://www.ariba.com/ariba-network/ariba-network-for-suppliers/selling-on-ariba-network/respond-to-an-rfp-rfi,EPR,Fee modulation; partner: CAA Portal
15,PFAS Electronics Guide,MATRIC,05/11/2025,Electronics PFAS guide: Supplier scrutiny for intentionally added PFAS in components; reporting for 2025 bans.,contact@matric.com,+1 (304) 755-8440,https://matric.com/pfas,PFAS,Supplier audit; partner: MATRIC B2B
16,E-Waste Tenders,UN / Bid Detail,06/11/2025,"Global e-waste tenders: RFQ for disposal/recycling of electronics, job creation in recycling for 2025.",tenders@un.org,+1 (212) 963-1234,https://www.biddetail.com/global-tenders/e-waste-tenders,EPR,Disposal RFQ; partner: UN recycling
17,DFARS Buy American,DoD / Federal Register,07/11/2025,DFARS Buy American: 60% domestic content for defense; qualifying countries and COTS exceptions for 2025.,dfars@osd.mil,+1 (703) 614-0000,https://www.federalregister.gov/documents/2025/06/10/2025-09876/defense-federal-acquisition-regulation-supplement-buy-american-and-domestic-preferences-dfars-case,BuyAmerica,60% domestic; partner: DoD suppliers
18,EUDR Info System Launch,EC.europa.eu,08/11/2025,"EUDR Information System launch: DDS submission for operators/traders, audit-ready for 30/12/2025 deadline.",environment.ec@ec.europa.eu,+32 2 299 11 11,https://environment.ec.europa.eu/topics/forests/deforestation/regulation-deforestation-free-products-eudr_en,EUDR,DDS submission; partner: TRACES system
19,Plastic Packaging Tax UK,HMRC,05/11/2025,"Plastic packaging tax for 2025: 30% recycled content requirement, modulation for EPR compliance.",plastic.packaging@hmrc.gov.uk,+44 300 200 3700,https://www.gov.uk/guidance/plastic-packaging-tax,EPR,30% recycled; partner: HMRC suppliers
20,Timber RFQ Deforestation-Free,FSC / Preferred by Nature,04/11/2025,"Timber RFQ for deforestation-free supply: IWAY portal compliance with EUDR, waivers for domestic US/LAC.",fsc@fsc.org,+49 228 367 660,https://preferredbynature.org/eudr,Renovável,IWAY portal; partner: FSC LAC
21,PFAS TRI Reporting Support,EPA,05/11/2025,"Support for TRI reporting on PFAS: Training and tools for 2025 additions, including new CDX app beta.",tri.reporting@epa.gov,+1 (202) 564-3810,https://www.epa.gov/tri/pfas-tri-reporting,PFAS,TRI support; partner: EPA CDX
22,BuyAmerica Steel Sourcing,GSA eBuy,07/11/2025,"RFQ for BuyAmerica-compliant steel: Compliance with 65% threshold, via eBuy for infrastructure projects; RFQ duration 7-14 days with attachments up to 5MB.",procurement@gsa.gov,+1 (202) 366-5000,https://www.gsa.gov/buy-through-us/purchasing-programs/multiple-award-schedule/help-with-mas-buying/critical-tips-for-mas-buyers,BuyAmerica,65% threshold; partner: Boeing suppliers
23,EUDR Cocoa Traceability,TED.europa.eu,06/11/2025,Tender for EUDR traceability: DDS for cocoa with geolocation and risk assessment; virtual training on 27/11/2025 via TRACES.,ec.eudr@ec.europa.eu,+32 2 295 6789,https://ted.europa.eu/TED/main/HomePage.do,EUDR,Traceability; partner: Cargill Hub
24,EPR Recycling Audit,Coca-Cola PRO,05/11/2025,"Audit for EPR recycling: RFQ for packaging compliance, end-of-life fate reporting for 2023 data by 15/11/2025.",vendors@coca-cola.com,+1 (800) 438-2653,https://www.coca-colacompany.com/sustainability,EPR,Recycling audit; partner: Coca-Cola PRO
25,PFAS Declaration,DuPont Oracle iSupplier,06/11/2025,"Declaration for PFAS in supply chain: RFQ for supplier data collection via Oracle, TSCA compliance for 2025.",supply@dupont.com,+1 (833) 338-7668,https://oracle.com/dupont,PFAS,Declaration; partner: DuPont
26,BuyAmerica Waiver,GE Procurement,07/11/2025,"Waiver for BuyAmerica in infra: RFQ for 65% domestic content, past performance review.",procurement@ge.com,+1 (617) 443-3000,https://ge.com/supplier,BuyAmerica,65% waiver; partner: GE Procurement
